병원명,주소,전화번호,진료과목,위도,경도
중구 소아청소년과 의원,서울특별시 중구 가상로 136,02-117-4587,소아청소년과,37.586066,126.858903
수원시 소아청소년과 의원,경기도 수원시 가상로 132,031-300-8860,소아청소년과,37.572544,127.149751
종로구 산부인과 의원,서울특별시 종로구 가상로 27,02-347-8798,산부인과,37.222223,127.193279
의정부시 진단검사의학과 의원,경기도 의정부시 가상로 62,031-195-1952,진단검사의학과,37.491787,127.192849
강남구 응급의학과 의원,서울특별시 강남구 가상로 196,02-195-2772,응급의학과,37.335928,127.03757
부천시 치과 의원,경기도 부천시 가상로 45,031-320-7388,치과,37.291516,127.14768
서초구 산부인과 의원,서울특별시 서초구 가상로 167,02-269-9727,산부인과,37.591929,126.990661
고양시 재활의학과 의원,경기도 고양시 가상로 74,031-426-6532,재활의학과,37.495786,127.199709
종로구 응급의학과 의원,서울특별시 종로구 가상로 57,02-162-4443,응급의학과,37.237551,126.842025
고양시 가정의학과 의원,경기도 고양시 가상로 141,031-194-6944,가정의학과,37.591339,127.154271
마포구 비뇨의학과 의원,서울특별시 마포구 가상로 63,02-684-9241,비뇨의학과,37.357168,126.997185
의정부시 안과 의원,경기도 의정부시 가상로 81,031-386-8510,안과,37.441372,126.958233
서초구 피부과 의원,서울특별시 서초구 가상로 151,02-375-2738,피부과,37.593199,127.005882
고양시 이비인후과 의원,경기도 고양시 가상로 66,031-530-7294,이비인후과,37.212553,127.120702
강남구 이비인후과 의원,서울특별시 강남구 가상로 9,02-449-6862,이비인후과,37.397449,126.85064
의정부시 진단검사의학과 의원,경기도 의정부시 가상로 10,031-281-1334,진단검사의학과,37.340862,127.131218
중구 응급의학과 의원,서울특별시 중구 가상로 100,02-911-9924,응급의학과,37.370146,127.130686
부천시 정형외과 의원,경기도 부천시 가상로 129,031-902-1175,정형외과,37.326687,127.075167
종로구 가정의학과 의원,서울특별시 종로구 가상로 111,02-811-9820,가정의학과,37.239691,126.974784
의정부시 소아청소년과 의원,경기도 의정부시 가상로 151,031-203-6829,소아청소년과,37.310425,127.132563
강남구 외과 의원,서울특별시 강남구 가상로 157,02-288-6785,외과,37.453383,126.98368
성남시 마취통증의학과 의원,경기도 성남시 가상로 131,031-240-3418,마취통증의학과,37.468542,126.894187
중구 안과 의원,서울특별시 중구 가상로 122,02-619-6440,안과,37.396896,127.065103
고양시 마취통증의학과 의원,경기도 고양시 가상로 112,031-174-3855,마취통증의학과,37.226016,127.05325
중구 피부과 의원,서울특별시 중구 가상로 80,02-493-6291,피부과,37.347971,127.071504
고양시 이비인후과 의원,경기도 고양시 가상로 6,031-848-4589,이비인후과,37.305488,126.89086
강남구 피부과 의원,서울특별시 강남구 가상로 168,02-595-9438,피부과,37.284,126.910459
부천시 재활의학과 의원,경기도 부천시 가상로 162,031-232-3308,재활의학과,37.271946,126.947569
서초구 안과 의원,서울특별시 서초구 가상로 90,02-331-6346,안과,37.532895,127.051988
성남시 응급의학과 의원,경기도 성남시 가상로 170,031-745-6667,응급의학과,37.206621,127.003103
서초구 안과 의원,서울특별시 서초구 가상로 197,02-342-6640,안과,37.306886,126.984915
고양시 치과 의원,경기도 고양시 가상로 154,031-757-1472,치과,37.202008,126.925702
중구 가정의학과 의원,서울특별시 중구 가상로 104,02-514-1428,가정의학과,37.208428,126.985023
수원시 내과 의원,경기도 수원시 가상로 101,031-390-7678,내과,37.49418,126.967018
종로구 치과 의원,서울특별시 종로구 가상로 44,02-340-3849,치과,37.588612,127.16314
의정부시 재활의학과 의원,경기도 의정부시 가상로 194,031-177-7421,재활의학과,37.280375,126.931213
마포구 안과 의원,서울특별시 마포구 가상로 157,02-839-9113,안과,37.342226,127.143688
수원시 영상의학과 의원,경기도 수원시 가상로 184,031-996-7057,영상의학과,37.472418,126.850248
중구 정신건강의학과 의원,서울특별시 중구 가상로 197,02-784-5592,정신건강의학과,37.541322,126.971486
의정부시 피부과 의원,경기도 의정부시 가상로 177,031-642-6223,피부과,37.400739,127.154247
중구 피부과 의원,서울특별시 중구 가상로 26,02-318-3063,피부과,37.417619,126.851279
수원시 응급의학과 의원,경기도 수원시 가상로 22,031-116-4120,응급의학과,37.364638,126.959897
종로구 마취통증의학과 의원,서울특별시 종로구 가상로 77,02-987-4674,마취통증의학과,37.379176,126.996633
성남시 가정의학과 의원,경기도 성남시 가상로 86,031-877-8898,가정의학과,37.293395,127.159842
중구 진단검사의학과 의원,서울특별시 중구 가상로 88,02-407-3568,진단검사의학과,37.395231,126.945846
수원시 소아청소년과 의원,경기도 수원시 가상로 116,031-278-1091,소아청소년과,37.34848,126.995663
강남구 외과 의원,서울특별시 강남구 가상로 53,02-897-4816,외과,37.533578,126.959504
고양시 비뇨의학과 의원,경기도 고양시 가상로 195,031-105-6314,비뇨의학과,37.335248,127.066757
중구 마취통증의학과 의원,서울특별시 중구 가상로 82,02-312-7910,마취통증의학과,37.269018,127.024744
고양시 이비인후과 의원,경기도 고양시 가상로 84,031-848-6938,이비인후과,37.381136,126.847161
강남구 정신건강의학과 의원,서울특별시 강남구 가상로 71,02-997-1028,정신건강의학과,37.378039,127.028313
부천시 가정의학과 의원,경기도 부천시 가상로 32,031-866-8112,가정의학과,37.405752,127.119617
종로구 재활의학과 의원,서울특별시 종로구 가상로 195,02-708-4412,재활의학과,37.254596,127.0217
부천시 비뇨의학과 의원,경기도 부천시 가상로 40,031-372-6568,비뇨의학과,37.585816,126.843719
강남구 정신건강의학과 의원,서울특별시 강남구 가상로 13,02-905-7973,정신건강의학과,37.322328,126.972665
성남시 안과 의원,경기도 성남시 가상로 118,031-674-5557,안과,37.492299,127.007616
강남구 응급의학과 의원,서울특별시 강남구 가상로 144,02-326-8152,응급의학과,37.348386,127.003706
고양시 외과 의원,경기도 고양시 가상로 84,031-451-9591,외과,37.56244,126.859747
중구 가정의학과 의원,서울특별시 중구 가상로 149,02-331-3158,가정의학과,37.582151,127.058829
의정부시 외과 의원,경기도 의정부시 가상로 18,031-742-8191,외과,37.296124,127.069584
종로구 재활의학과 의원,서울특별시 종로구 가상로 9,02-268-3199,재활의학과,37.382956,126.929639
성남시 진단검사의학과 의원,경기도 성남시 가상로 10,031-328-4372,진단검사의학과,37.454593,126.891075
서초구 산부인과 의원,서울특별시 서초구 가상로 5,02-999-5967,산부인과,37.313202,127.192985
의정부시 소아청소년과 의원,경기도 의정부시 가상로 92,031-784-2627,소아청소년과,37.51277,127.018496
강남구 피부과 의원,서울특별시 강남구 가상로 66,02-803-1709,피부과,37.371472,126.921303
부천시 정신건강의학과 의원,경기도 부천시 가상로 193,031-293-5338,정신건강의학과,37.527345,126.989363
강남구 응급의학과 의원,서울특별시 강남구 가상로 176,02-571-4779,응급의학과,37.394151,126.924593
고양시 마취통증의학과 의원,경기도 고양시 가상로 68,031-903-6386,마취통증의학과,37.582697,127.027175
마포구 가정의학과 의원,서울특별시 마포구 가상로 54,02-208-5979,가정의학과,37.355779,127.101541
성남시 안과 의원,경기도 성남시 가상로 197,031-774-1233,안과,37.205722,127.10318
서초구 가정의학과 의원,서울특별시 서초구 가상로 131,02-917-3683,가정의학과,37.506255,127.18191
의정부시 산부인과 의원,경기도 의정부시 가상로 186,031-998-2883,산부인과,37.515713,127.004608
서초구 소아청소년과 의원,서울특별시 서초구 가상로 146,02-556-2129,소아청소년과,37.58418,126.904522
부천시 영상의학과 의원,경기도 부천시 가상로 64,031-845-6252,영상의학과,37.5735,126.98655
마포구 신경외과 의원,서울특별시 마포구 가상로 131,02-896-5140,신경외과,37.451087,126.857632
성남시 마취통증의학과 의원,경기도 성남시 가상로 150,031-619-6518,마취통증의학과,37.501452,127.178783
종로구 치과 의원,서울특별시 종로구 가상로 188,02-870-6215,치과,37.226382,127.149087
부천시 피부과 의원,경기도 부천시 가상로 41,031-981-1004,피부과,37.463576,127.149646
중구 치과 의원,서울특별시 중구 가상로 59,02-553-8621,치과,37.423982,127.180296
의정부시 진단검사의학과 의원,경기도 의정부시 가상로 10,031-196-7980,진단검사의학과,37.49628,126.863371
서초구 안과 의원,서울특별시 서초구 가상로 175,02-861-1897,안과,37.596666,127.141845
성남시 외과 의원,경기도 성남시 가상로 26,031-587-3049,외과,37.284824,126.914769
마포구 외과 의원,서울특별시 마포구 가상로 199,02-893-6836,외과,37.244778,127.03158
성남시 피부과 의원,경기도 성남시 가상로 76,031-830-8878,피부과,37.267977,126.858473
서초구 안과 의원,서울특별시 서초구 가상로 109,02-989-2795,안과,37.342708,127.117933
